FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight
Grant Dawson,70.0,155.0,72.0,Switch,1994-02-20,http://ufcstats.com/fighter-details/99bd51917728c25d,True
Jason Day,72.0,185.0,72.0,Orthodox,1981-05-19,http://ufcstats.com/fighter-details/a6fd2173d5e2d7f0,True
Martin Day,70.0,145.0,73.0,Orthodox,1988-11-10,http://ufcstats.com/fighter-details/ea3dcc417c322064,True
Yorgan De Castro,72.0,250.0,74.0,Orthodox,1986-12-19,http://ufcstats.com/fighter-details/1eff7bc0f815b270,True
Geraldo de Freitas,67.0,135.0,72.0,Orthodox,1991-09-30,http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93,True
Philip De Fries,77.0,250.0,79.0,Orthodox,1986-04-21,http://ufcstats.com/fighter-details/6ef65b6a152e49d5,True
Chris de la Rocha,75.0,250.0,80.0,Orthodox,1979-05-15,http://ufcstats.com/fighter-details/e51ee8ded927fc51,True
Montana De La Rosa,67.0,125.0,68.0,Orthodox,1995-02-14,http://ufcstats.com/fighter-details/80d8aed0ca9b00f3,True
Mark De La Rosa,66.0,135.0,65.0,Orthodox,1994-08-31,http://ufcstats.com/fighter-details/f57dd0bfa8c17813,True
Mike de la Torre,71.0,145.0,71.0,Orthodox,1986-09-22,http://ufcstats.com/fighter-details/1971869b7e054261,True
Rodrigo de Lima,67.0,155.0,,Orthodox,1991-03-12,http://ufcstats.com/fighter-details/a4dc47001f202bcd,True
Edilberto de Oliveira,72.0,170.0,,Orthodox,1982-11-22,http://ufcstats.com/fighter-details/afdb76fbd86f6d11,True
Jorge de Oliveira,68.0,155.0,,Orthodox,1980-01-22,http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c,True
Isabela de Padua,63.0,125.0,64.0,Orthodox,1991-09-04,http://ufcstats.com/fighter-details/e0f959f65d0406b4,True
Gloria de Paula,65.0,115.0,67.0,Orthodox,1995-06-10,http://ufcstats.com/fighter-details/5dd180c8b3196786,True
Germaine de Randamie,69.0,135.0,71.0,Orthodox,1984-04-24,http://ufcstats.com/fighter-details/1d239d571e342453,True
Tom DeBlass,72.0,185.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/0bcfe2513cb3bc39,True
Shane del Rosario,76.0,250.0,,Southpaw,1983-09-23,http://ufcstats.com/fighter-details/85980f5da429c0a6,True
Rolando Delgado,75.0,155.0,77.0,Orthodox,1981-11-22,http://ufcstats.com/fighter-details/37b1696e6d115957,True
Jack Della Maddalena,71.0,170.0,73.0,Switch,1996-09-10,http://ufcstats.com/fighter-details/6b453bc35a823c3f,True
Roland Delorme,69.0,135.0,71.0,Orthodox,1983-12-18,http://ufcstats.com/fighter-details/173acb3f920082b8,True
Jon Delos Reyes,66.0,125.0,67.0,Orthodox,1987-08-19,http://ufcstats.com/fighter-details/0d0351c20169a499,True
Jason DeLucia,71.0,190.0,,Southpaw,1969-07-24,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b,True
Vanessa Demopoulos,62.0,125.0,59.0,Orthodox,1988-09-22,http://ufcstats.com/fighter-details/2c483cf443f38ece,True
Chris Dempsey,70.0,185.0,72.0,Orthodox,1987-09-08,http://ufcstats.com/fighter-details/dfae5da5676e4194,True
Nick Denis,67.0,135.0,,Orthodox,1983-10-11,http://ufcstats.com/fighter-details/e4aaaa34535e32b6,True
Jason Dent,70.0,155.0,71.0,Orthodox,1980-06-12,http://ufcstats.com/fighter-details/fa8b9e6b0c2269f8,True
Mackenzie Dern,64.0,115.0,63.0,Orthodox,1993-03-24,http://ufcstats.com/fighter-details/7447e9f28508106a,True
Tony DeSouza,72.0,170.0,70.0,Southpaw,1974-07-26,http://ufcstats.com/fighter-details/6ad9058b7c7898b0,True
Edwin DeWees,73.0,185.0,,Orthodox,1982-08-07,http://ufcstats.com/fighter-details/75bbd2206a15319f,True
Alessio Di Chirico,72.0,185.0,74.0,Orthodox,1989-12-12,http://ufcstats.com/fighter-details/77d7295d1b22c694,True
Cyrille Diabate,78.0,205.0,81.0,Southpaw,1973-10-06,http://ufcstats.com/fighter-details/43563a32c3f10e95,True
Marc Diakiese,70.0,155.0,73.0,Orthodox,1993-03-16,http://ufcstats.com/fighter-details/32c355b04fc57f3a,True
Tyler Diamond,67.0,145.0,69.0,Orthodox,1991-03-18,http://ufcstats.com/fighter-details/f5f6419c5f00abad,True
Blood Diamond,71.0,170.0,73.0,Switch,1988-07-10,http://ufcstats.com/fighter-details/9edf2c9082cc2cd8,True
Hacran Dias,68.0,155.0,69.0,Orthodox,1984-06-16,http://ufcstats.com/fighter-details/ed209f6618c82e41,True
Nick Diaz,73.0,170.0,76.0,Southpaw,1983-08-02,http://ufcstats.com/fighter-details/f57a8a52ca401ed9,True
Nate Diaz,72.0,170.0,76.0,Southpaw,1985-04-16,http://ufcstats.com/fighter-details/8355922d564b152c,True
TJ Dillashaw,66.0,135.0,67.0,Orthodox,1986-02-07,http://ufcstats.com/fighter-details/c849740a3ff51931,True
Russell Doane,67.0,135.0,70.0,Orthodox,1986-08-13,http://ufcstats.com/fighter-details/f50d95223751e6ca,True
Drew Dober,68.0,155.0,70.0,Southpaw,1988-10-19,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,True
Shana Dobson,66.0,125.0,69.0,Orthodox,1989-03-30,http://ufcstats.com/fighter-details/122ac9b816d8b71c,True
AJ Dobson,73.0,185.0,76.0,Orthodox,1992-01-18,http://ufcstats.com/fighter-details/009c4420727149ea,True
David Dodd,74.0,200.0,,Orthodox,1973-09-22,http://ufcstats.com/fighter-details/c2a7623f398d9bd7,True
John Dodson,63.0,135.0,66.0,Orthodox,1984-09-26,http://ufcstats.com/fighter-details/99506df1af6c8b3b,True
Joe Doerksen,72.0,185.0,75.0,Orthodox,1977-10-09,http://ufcstats.com/fighter-details/dbaaf42313af90fa,True
Roman Dolidze,74.0,185.0,76.0,Orthodox,1988-07-15,http://ufcstats.com/fighter-details/327d5f279895110d,True
Cameron Dollar,71.0,155.0,,Orthodox,1987-05-12,http://ufcstats.com/fighter-details/3bbcd63a016d9715,True
CB Dollaway,74.0,185.0,76.0,Orthodox,1983-08-10,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,True
Cody Donovan,75.0,205.0,74.0,Orthodox,1981-02-20,http://ufcstats.com/fighter-details/7bc96507e4b38d3b,True
Houston Dorr,73.0,210.0,,Orthodox,,http://ufcstats.com/fighter-details/312f47c3d2f83ffa,True
Rafael Dos Anjos,68.0,155.0,70.0,Southpaw,1984-10-26,http://ufcstats.com/fighter-details/6a2f7c151031653d,True
Junior Dos Santos,76.0,238.0,77.0,Orthodox,1984-01-30,http://ufcstats.com/fighter-details/63def5a5662a6917,True
Antonio Dos Santos,70.0,185.0,,Orthodox,1988-07-21,http://ufcstats.com/fighter-details/81b8b3fb019dc69d,True
Anderson Dos Santos,65.0,135.0,70.0,Orthodox,1985-07-24,http://ufcstats.com/fighter-details/bbc9ab95fa766493,True
Tiago dos Santos e Silva,69.0,145.0,70.0,Orthodox,1987-04-12,http://ufcstats.com/fighter-details/8ce87f7e3a9baed2,True
John Dowdy,,,,,,http://ufcstats.com/fighter-details/e780ccc79a209985,True
Danny Downes,72.0,155.0,72.0,Orthodox,1986-04-08,http://ufcstats.com/fighter-details/a66395395b5f1394,True
Derek Downey,73.0,185.0,,Orthodox,1980-04-27,http://ufcstats.com/fighter-details/b05086131c6f5dc5,True
Tomasz Drwal,73.0,205.0,76.0,Orthodox,1982-01-22,http://ufcstats.com/fighter-details/679a9054e2815943,True
Robert Drysdale,75.0,205.0,,Orthodox,1981-10-05,http://ufcstats.com/fighter-details/d2a9be6bf2de624c,True
Dricus Du Plessis,73.0,185.0,76.0,Switch,1994-01-14,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,True
Hugo Duarte,72.0,240.0,,Orthodox,1968-08-09,http://ufcstats.com/fighter-details/706404da0775dcbc,True
Milana Dudieva,63.0,135.0,,Orthodox,1989-08-04,http://ufcstats.com/fighter-details/072a10e85f7d4bff,True
Todd Duffee,75.0,260.0,78.0,Orthodox,1985-12-06,http://ufcstats.com/fighter-details/bda04c573563cc2e,True
Joe Duffy,70.0,155.0,73.0,Orthodox,1988-02-18,http://ufcstats.com/fighter-details/654ae722109a0d31,True
Alexis Dufresne,69.0,135.0,,Orthodox,1990-08-31,http://ufcstats.com/fighter-details/4ae4049426e0161d,True
Jessamyn Duke,71.0,135.0,73.0,Orthodox,1986-06-24,http://ufcstats.com/fighter-details/a7ddae0be8b78147,True
Kelly Dullanty,68.0,155.0,,Orthodox,1977-11-04,http://ufcstats.com/fighter-details/1a225f04aa6e0739,True
Norma Dumont,67.0,145.0,67.0,Orthodox,1990-10-01,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,True
Evan Dunham,70.0,155.0,70.0,Southpaw,1981-12-18,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,True
Tom Duquesnoy,67.0,135.0,68.0,Orthodox,1993-06-21,http://ufcstats.com/fighter-details/e979c76341f19b22,True
Albert Duraev,71.0,185.0,75.0,Orthodox,1989-01-05,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,True
Reuben Duran,67.0,135.0,71.0,Orthodox,1983-07-02,http://ufcstats.com/fighter-details/4417980b3e798abf,True
Cody Durden,67.0,125.0,67.0,Southpaw,1991-03-29,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,True
Luiz Dutra,71.0,170.0,,Orthodox,1982-05-06,http://ufcstats.com/fighter-details/2153a7f8396a46cc,True
Merab Dvalishvili,66.0,135.0,68.0,Orthodox,1991-01-10,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,True
David Dvorak,65.0,125.0,68.0,Orthodox,1992-06-05,http://ufcstats.com/fighter-details/9ada30894bf04e19,True
Matt Dwyer,76.0,170.0,76.0,Orthodox,1989-12-17,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,True
Rolando Dy,68.0,145.0,69.0,Orthodox,1990-08-11,http://ufcstats.com/fighter-details/55ed59d541f8b90c,True
Ben Earwood,68.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,True
Cody East,75.0,245.0,,Orthodox,1988-06-29,http://ufcstats.com/fighter-details/5713c1d2fac539ac,True
Marvin Eastman,69.0,185.0,73.0,Orthodox,1971-06-08,http://ufcstats.com/fighter-details/05866d8c3a321856,True
Mike Easton,66.0,135.0,70.0,Southpaw,1984-01-25,http://ufcstats.com/fighter-details/bc7230f231701d66,True
Brian Ebersole,72.0,170.0,73.0,Southpaw,1980-11-27,http://ufcstats.com/fighter-details/32ba186f4b0e3267,True
Mark Eddiva,68.0,145.0,68.0,Orthodox,1986-02-16,http://ufcstats.com/fighter-details/40ff198adda94b9f,True
Frankie Edgar,66.0,135.0,68.0,Orthodox,1981-10-16,http://ufcstats.com/fighter-details/f2688492b9a525a3,True
Abdul-Kerim Edilov,74.0,205.0,,Orthodox,1991-11-25,http://ufcstats.com/fighter-details/37e03538c960bac6,True
Johnny Eduardo,67.0,135.0,71.0,Orthodox,1978-08-03,http://ufcstats.com/fighter-details/528c24b99fbaab79,True
Yves Edwards,69.0,155.0,73.0,Southpaw,1976-09-30,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,True
Justin Edwards,70.0,155.0,70.0,Orthodox,1983-01-26,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,True
Leon Edwards,74.0,170.0,74.0,Southpaw,1991-08-25,http://ufcstats.com/fighter-details/f1fac969a1d70b08,True
Te Edwards,68.0,155.0,72.0,Orthodox,1990-09-11,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea,True
Joselyne Edwards,68.0,135.0,70.0,Orthodox,1995-09-29,http://ufcstats.com/fighter-details/f9ab66e67240db7b,True
Tom Egan,71.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01,True
Stephanie Egger,66.0,135.0,68.0,Orthodox,1988-08-12,http://ufcstats.com/fighter-details/5e6294b37bbef029,True
Justin Eilers,73.0,235.0,,Orthodox,1978-06-28,http://ufcstats.com/fighter-details/27fc9218a3653e3c,True
Jon Olav Einemo,78.0,253.0,,Orthodox,1975-12-10,http://ufcstats.com/fighter-details/0577808d22dfe79c,True
Per Eklund,70.0,155.0,72.0,Orthodox,,http://ufcstats.com/fighter-details/58bc81376286b3d3,True
Darren Elkins,70.0,145.0,71.0,Orthodox,1984-05-16,http://ufcstats.com/fighter-details/92a9aa9c93192871,True
Jake Ellenberger,69.0,170.0,71.0,Orthodox,1985-03-28,http://ufcstats.com/fighter-details/d81ac739417d7f53,True
Joe Ellenberger,69.0,155.0,72.0,Orthodox,1985-03-28,http://ufcstats.com/fighter-details/8e8e4487c621aa1c,True
Tim Elliott,67.0,125.0,66.0,Southpaw,1986-12-24,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,True
Lisa Ellis,64.0,115.0,,,1982-11-15,http://ufcstats.com/fighter-details/77350fd0e6d1dba8,True
Anna Elmose,63.0,115.0,,Orthodox,1984-10-06,http://ufcstats.com/fighter-details/1536a25e16fc299b,True
Cameron Else,69.0,135.0,71.0,Switch,1987-04-27,http://ufcstats.com/fighter-details/5f3da9a9610d8969,True
Ramazan Emeev,70.0,170.0,76.0,Southpaw,1987-05-23,http://ufcstats.com/fighter-details/abd5fb12437eda21,True
Rob Emerson,69.0,155.0,70.0,Orthodox,1981-07-30,http://ufcstats.com/fighter-details/dc0f07928009a127,True
Jamall Emmers,70.0,145.0,74.0,Orthodox,1989-07-24,http://ufcstats.com/fighter-details/e00a3dee329a51f7,True
Josh Emmett,66.0,145.0,70.0,Orthodox,1985-03-04,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,True
Oliver Enkamp,72.0,170.0,77.0,Switch,1991-08-10,http://ufcstats.com/fighter-details/330bafba312face4,True
Ian Entwistle,65.0,135.0,,Orthodox,1986-11-19,http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8,True
Andy Enz,75.0,185.0,78.0,Orthodox,1991-08-15,http://ufcstats.com/fighter-details/993d385f5a475375,True
Konstantin Erokhin,71.0,230.0,,Orthodox,1983-01-31,http://ufcstats.com/fighter-details/22061ff217907c78,True
Julian Erosa,73.0,145.0,74.0,Southpaw,1989-07-31,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,True
Cole Escovedo,67.0,135.0,72.0,Orthodox,1981-08-30,http://ufcstats.com/fighter-details/5df17b3620145578,True
Efrain Escudero,69.0,155.0,71.0,Orthodox,1986-01-15,http://ufcstats.com/fighter-details/83fd97284f4bb4a4,True
Carla Esparza,61.0,115.0,63.0,Orthodox,1987-10-10,http://ufcstats.com/fighter-details/d910665038efc639,True
Juan Espino,75.0,255.0,80.0,,1980-10-09,http://ufcstats.com/fighter-details/ccf5dc41417e9daf,True
Jordan Espinosa,66.0,125.0,69.0,Orthodox,1989-11-08,http://ufcstats.com/fighter-details/215a70f073a7b726,True
Jodie Esquibel,61.0,115.0,64.0,Orthodox,1986-05-07,http://ufcstats.com/fighter-details/411539901068522f,True
Terry Etim,73.0,155.0,73.0,Orthodox,1986-01-11,http://ufcstats.com/fighter-details/33011768c3c4dc9a,True
Fred Ettish,72.0,180.0,,Southpaw,,http://ufcstats.com/fighter-details/8d5daf67983b65ba,True
Sijara Eubanks,64.0,125.0,67.0,Orthodox,1985-04-27,http://ufcstats.com/fighter-details/4234f0097c83fa62,True
Rashad Evans,72.0,205.0,75.0,Orthodox,1979-09-25,http://ufcstats.com/fighter-details/ee779c43a8926d52,True
Doug Evans,69.0,155.0,,Orthodox,1980-10-10,http://ufcstats.com/fighter-details/d3de4a24f7eefac8,True
Ashlee Evans-Smith,68.0,135.0,67.0,Orthodox,1987-07-09,http://ufcstats.com/fighter-details/fc6e681bf6658faf,True
Dan Evensen,75.0,250.0,,Orthodox,1974-06-01,http://ufcstats.com/fighter-details/dd8aec6de7035943,True
Tonya Evinger,67.0,135.0,70.0,Orthodox,1981-06-04,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,True
Movsar Evloev,67.0,145.0,72.0,Orthodox,1994-02-11,http://ufcstats.com/fighter-details/76e2870ffafbe38f,True
Andre Ewell,68.0,145.0,75.0,Southpaw,1988-01-21,http://ufcstats.com/fighter-details/5f6f049d54728e88,True
Jessica Eye,66.0,125.0,66.0,Orthodox,1986-07-27,http://ufcstats.com/fighter-details/f72465a784c1b084,True
Edward Faaloloto,,155.0,70.0,,1984-07-15,http://ufcstats.com/fighter-details/6224e8d0a34264eb,True
Urijah Faber,66.0,135.0,67.0,Orthodox,1979-05-14,http://ufcstats.com/fighter-details/78114b7199cef90c,True
Melinda Fabian,66.0,125.0,66.0,,1987-06-25,http://ufcstats.com/fighter-details/8c020156779f7888,True
Bartosz Fabinski,72.0,170.0,75.0,Orthodox,1986-04-26,http://ufcstats.com/fighter-details/e17ac6410c8377f4,True
Ron Faircloth,69.0,205.0,,Orthodox,1979-08-16,http://ufcstats.com/fighter-details/453ee00c3e1ae9dd,True
Jason Fairn,73.0,230.0,,,,http://ufcstats.com/fighter-details/adea9f0090aa8e14,True
Zarah Fairn,68.0,135.0,72.0,Orthodox,1983-12-10,http://ufcstats.com/fighter-details/862b0b3375aa4b6e,True
Rinat Fakhretdinov,72.0,185.0,,,1991-09-28,http://ufcstats.com/fighter-details/8f765fd5775a8873,True
Maiquel Falcao,71.0,185.0,,Orthodox,1981-03-08,http://ufcstats.com/fighter-details/d58478ded5534695,True
Brodie Farber,73.0,170.0,,Orthodox,1980-07-05,http://ufcstats.com/fighter-details/91d73ee59347ac16,True
Kalindra Faria,67.0,125.0,,Switch,1986-07-23,http://ufcstats.com/fighter-details/27b164b0d1833df0,True
Kelly Faszholz,68.0,135.0,,Orthodox,1985-04-09,http://ufcstats.com/fighter-details/9c42a0de8e012870,True
Paul Felder,71.0,155.0,70.0,Orthodox,1984-04-25,http://ufcstats.com/fighter-details/e5010b1b94ca5755,True
Carlos Felipe,72.0,245.0,75.0,Orthodox,1995-01-12,http://ufcstats.com/fighter-details/a2ea77e974c5889f,True
Kevin Ferguson,74.0,235.0,77.0,Orthodox,1974-02-08,http://ufcstats.com/fighter-details/27541033b97c076d,True
Tony Ferguson,71.0,155.0,76.0,Orthodox,1984-02-12,http://ufcstats.com/fighter-details/22a92d7f62195791,True
Josh Ferguson,65.0,125.0,,Orthodox,1988-05-13,http://ufcstats.com/fighter-details/b0f316c60f8d3b47,True
CJ Fernandes,74.0,170.0,,,1977-11-13,http://ufcstats.com/fighter-details/979f7edbb6980b0d,True
Alexandre Ferreira,67.0,205.0,,Orthodox,1979-04-25,http://ufcstats.com/fighter-details/28ba5f27e473420c,True
Cezar Ferreira,73.0,185.0,78.0,Southpaw,1985-02-15,http://ufcstats.com/fighter-details/dbc17725b887860a,True
Diego Ferreira,69.0,155.0,74.0,Orthodox,1985-01-18,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,True
Scott Ferrozzo,71.0,323.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/977081bc01197656,True
Andre Fialho,72.0,170.0,74.0,Orthodox,1994-04-07,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,True
Drew Fickett,70.0,155.0,70.0,Orthodox,1979-12-14,http://ufcstats.com/fighter-details/d814f5192e58fb2f,True
Scott Fiedler,76.0,235.0,,Orthodox,,http://ufcstats.com/fighter-details/0ec821423baa26bd,True
Deiveson Figueiredo,65.0,125.0,68.0,Orthodox,1987-12-18,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,True
Francisco Figueiredo,66.0,135.0,68.0,Southpaw,1989-10-23,http://ufcstats.com/fighter-details/cdadae5363b66eef,True
Edwin Figueroa,67.0,135.0,69.0,Orthodox,1984-07-31,http://ufcstats.com/fighter-details/bbfca6d5c27d9cd8,True
Andre Fili,71.0,145.0,74.0,Orthodox,1990-06-25,http://ufcstats.com/fighter-details/8fd808923cffff82,True
Mirko Filipovic,74.0,230.0,73.0,Southpaw,1974-09-10,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d,True
Luigi Fioravanti,68.0,170.0,70.0,Orthodox,1981-01-22,http://ufcstats.com/fighter-details/9583662df31d943f,True
Manon Fiorot,67.0,125.0,65.0,Orthodox,1990-02-17,http://ufcstats.com/fighter-details/34ff304266360297,True
Spencer Fisher,67.0,155.0,68.0,Southpaw,1976-05-09,http://ufcstats.com/fighter-details/f34312c2ccfa0e00,True
Chris Fishgold,68.0,145.0,68.0,Orthodox,1992-06-06,http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f,True
Jon Fitch,72.0,170.0,74.0,Orthodox,1978-02-24,http://ufcstats.com/fighter-details/6f018c039b4d5d80,True
Rafael Fiziev,68.0,155.0,71.0,Switch,1993-03-05,http://ufcstats.com/fighter-details/c814b4c899793af6,True
Colin Fletcher,74.0,155.0,,Orthodox,1983-01-08,http://ufcstats.com/fighter-details/7d09200f6a77b20e,True
AJ Fletcher,70.0,170.0,67.0,Switch,1997-02-18,http://ufcstats.com/fighter-details/725b1abc9a39d873,True
Jimmy Flick,67.0,125.0,68.0,Orthodox,1990-09-07,http://ufcstats.com/fighter-details/09e62c450e754913,True
Kenny Florian,70.0,145.0,74.0,Southpaw,1976-05-26,http://ufcstats.com/fighter-details/cb139171ed1b69fe,True
Caros Fodor,69.0,155.0,74.0,Orthodox,1984-01-07,http://ufcstats.com/fighter-details/01d2ed8c502e3828,True
Rob Font,68.0,135.0,71.0,Orthodox,1987-06-25,http://ufcstats.com/fighter-details/05339613bf8e9808,True
Jesse Forbes,74.0,185.0,75.0,Southpaw,1984-10-24,http://ufcstats.com/fighter-details/947eccadb72f4f6f,True
Jussier Formiga,65.0,125.0,67.0,Orthodox,1985-04-14,http://ufcstats.com/fighter-details/b102c26727306ab6,True
Renee Forte,67.0,155.0,71.0,Orthodox,1987-03-27,http://ufcstats.com/fighter-details/44bc27bfa76dcd9e,True
Marcel Fortuna,73.0,205.0,74.0,Orthodox,1985-10-22,http://ufcstats.com/fighter-details/d761b3766e38c5db,True
Brian Foster,69.0,170.0,71.0,Orthodox,1984-04-03,http://ufcstats.com/fighter-details/3dc3022232b79c7a,True
Xavier Foupa-Pokam,73.0,185.0,,Open Stance,1982-07-03,http://ufcstats.com/fighter-details/ec33146e43e58933,True
Hermes Franca,66.0,155.0,71.0,Orthodox,1974-08-26,http://ufcstats.com/fighter-details/e0ec3c3b6b611f7e,True
Glaico Franca Moreira,72.0,155.0,77.0,Orthodox,1991-02-28,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,True
Rich Franklin,73.0,185.0,76.0,Southpaw,1974-10-05,http://ufcstats.com/fighter-details/d897897060f10a3a,True
Zane Frazier,77.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/d3711d3784b76255,True
Justin Frazier,72.0,265.0,75.0,Southpaw,1989-06-15,http://ufcstats.com/fighter-details/78863e4a28204a6b,True
Ian Freeman,71.0,225.0,,Orthodox,1966-11-10,http://ufcstats.com/fighter-details/b4bc2e3353a770b5,True
Willamy Freire,68.0,155.0,,,1987-07-28,http://ufcstats.com/fighter-details/f1f37d667bcd0d27,True
Matt Frevola,69.0,155.0,71.0,Orthodox,1990-06-11,http://ufcstats.com/fighter-details/dccb63727f2f5f74,True
Jinh Yu Frey,63.0,115.0,65.0,Southpaw,1985-05-20,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,True
Sarah Frota,66.0,125.0,69.0,Southpaw,1987-04-14,http://ufcstats.com/fighter-details/1641ef250e9de19b,True
Don Frye,73.0,219.0,,Orthodox,1965-11-23,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,True
Tony Fryklund,72.0,185.0,,Orthodox,1971-03-26,http://ufcstats.com/fighter-details/253de74457bd6374,True
Katsuhisa Fujii,72.0,205.0,,Orthodox,1972-08-15,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,True
Riki Fukuda,72.0,185.0,73.0,Southpaw,1981-01-06,http://ufcstats.com/fighter-details/7c35f869033901ae,True
Masio Fullen,70.0,145.0,70.0,Orthodox,1986-10-06,http://ufcstats.com/fighter-details/4638cc6479cc0afe,True
Travis Fulton,72.0,240.0,,Orthodox,1977-05-29,http://ufcstats.com/fighter-details/911fb265462f0d94,True
Sam Fulton,,,,,,http://ufcstats.com/fighter-details/1f5f75658551f2d3,True
Ricardo Funch,70.0,170.0,74.0,Southpaw,1980-08-14,http://ufcstats.com/fighter-details/e9e1acc96536bb4f,True
Claudia Gadelha,64.0,115.0,63.0,Orthodox,1988-12-07,http://ufcstats.com/fighter-details/ec34349e7dffcde7,True
Justin Gaethje,71.0,155.0,70.0,Orthodox,1988-11-14,http://ufcstats.com/fighter-details/9e8f6c728eb01124,True
Sheila Gaff,65.0,135.0,,Orthodox,1989-12-29,http://ufcstats.com/fighter-details/837d30395faca41e,True
Mitch Gagnon,65.0,135.0,65.0,Southpaw,1984-10-10,http://ufcstats.com/fighter-details/b8592b4a383696cd,True
Dave Galera,71.0,135.0,,Orthodox,1978-01-12,http://ufcstats.com/fighter-details/0876d21328cf4a45,True
Mickey Gall,74.0,170.0,74.0,Switch,1992-01-22,http://ufcstats.com/fighter-details/9e50097a89442158,True
Tom Gallicchio,70.0,170.0,,Southpaw,1986-09-23,http://ufcstats.com/fighter-details/cc81c92fe2254935,True
Joey Gambino,67.0,145.0,,Orthodox,1988-10-26,http://ufcstats.com/fighter-details/10559c53de0b950e,True
Manvel Gamburyan,65.0,135.0,67.0,Orthodox,1981-05-08,http://ufcstats.com/fighter-details/cc6f9d1e89f3449a,True
Mateusz Gamrot,70.0,155.0,70.0,Southpaw,1990-12-11,http://ufcstats.com/fighter-details/72db2a14ffa73ece,True
Shamil Gamzatov,74.0,205.0,76.0,Orthodox,1990-08-09,http://ufcstats.com/fighter-details/0d980975001ae3d8,True
Ciryl Gane,76.0,245.0,81.0,Orthodox,1990-04-12,http://ufcstats.com/fighter-details/787bb1f087ccff8a,True
Sean Gannon,75.0,265.0,,Southpaw,,http://ufcstats.com/fighter-details/6d7886b094b471ac,True
Eduardo Garagorri,69.0,145.0,70.0,Orthodox,1989-05-28,http://ufcstats.com/fighter-details/7bde387d50829adf,True
Cody Garbrandt,68.0,125.0,65.0,Orthodox,1991-07-07,http://ufcstats.com/fighter-details/d8c7c61b176e3994,True
Leonard Garcia,70.0,145.0,68.0,Orthodox,1979-07-14,http://ufcstats.com/fighter-details/917e53fa0adea0d3,True
Edgar Garcia,70.0,170.0,71.0,Orthodox,1984-02-22,http://ufcstats.com/fighter-details/8d49545dadf9b919,True
Alex Garcia,69.0,170.0,72.0,Orthodox,1987-07-14,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,True
Steve Garcia,72.0,155.0,75.0,Southpaw,1992-05-22,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,True
Elias Garcia,65.0,125.0,67.0,Southpaw,1992-09-13,http://ufcstats.com/fighter-details/ac5a7400da3a9a41,True
Rafa Garcia,67.0,155.0,70.0,Orthodox,1994-08-05,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,True
Fernie Garcia,67.0,135.0,67.0,Orthodox,1992-04-12,http://ufcstats.com/fighter-details/9e92e1ca498d7244,True
Ian Garry,75.0,170.0,74.0,Orthodox,1997-11-17,http://ufcstats.com/fighter-details/442c9011034ae1fd,True
Pablo Garza,73.0,145.0,73.0,Orthodox,1983-09-16,http://ufcstats.com/fighter-details/8e5bfd4e82352340,True
Azamat Gashimov,66.0,125.0,,Orthodox,1990-04-07,http://ufcstats.com/fighter-details/a1b0715c4fd2dbd3,True
Brian Gassaway,73.0,170.0,,Orthodox,1972-08-07,http://ufcstats.com/fighter-details/e4770d5ed44a3970,True
