FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE
Spencer Fisher,67.0,155.0,68.0,Southpaw,1976-05-09,http://ufcstats.com/fighter-details/f34312c2ccfa0e00,True,46.0
Chris Fishgold,68.0,145.0,68.0,Orthodox,1992-06-06,http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f,True,30.0
Jon Fitch,72.0,170.0,74.0,Orthodox,1978-02-24,http://ufcstats.com/fighter-details/6f018c039b4d5d80,True,44.0
Rafael Fiziev,68.0,155.0,71.0,Switch,1993-03-05,http://ufcstats.com/fighter-details/c814b4c899793af6,True,29.0
Colin Fletcher,74.0,155.0,,Orthodox,1983-01-08,http://ufcstats.com/fighter-details/7d09200f6a77b20e,True,40.0
AJ Fletcher,70.0,170.0,67.0,Switch,1997-02-18,http://ufcstats.com/fighter-details/725b1abc9a39d873,True,25.0
Jimmy Flick,67.0,125.0,68.0,Orthodox,1990-09-07,http://ufcstats.com/fighter-details/09e62c450e754913,True,32.0
Kenny Florian,70.0,145.0,74.0,Southpaw,1976-05-26,http://ufcstats.com/fighter-details/cb139171ed1b69fe,True,46.0
Caros Fodor,69.0,155.0,74.0,Orthodox,1984-01-07,http://ufcstats.com/fighter-details/01d2ed8c502e3828,True,39.0
Rob Font,68.0,135.0,71.0,Orthodox,1987-06-25,http://ufcstats.com/fighter-details/05339613bf8e9808,True,35.0
Jesse Forbes,74.0,185.0,75.0,Southpaw,1984-10-24,http://ufcstats.com/fighter-details/947eccadb72f4f6f,True,38.0
Jussier Formiga,65.0,125.0,67.0,Orthodox,1985-04-14,http://ufcstats.com/fighter-details/b102c26727306ab6,True,37.0
Renee Forte,67.0,155.0,71.0,Orthodox,1987-03-27,http://ufcstats.com/fighter-details/44bc27bfa76dcd9e,True,35.0
Marcel Fortuna,73.0,205.0,74.0,Orthodox,1985-10-22,http://ufcstats.com/fighter-details/d761b3766e38c5db,True,37.0
Brian Foster,69.0,170.0,71.0,Orthodox,1984-04-03,http://ufcstats.com/fighter-details/3dc3022232b79c7a,True,38.0
Xavier Foupa-Pokam,73.0,185.0,,Open Stance,1982-07-03,http://ufcstats.com/fighter-details/ec33146e43e58933,True,40.0
Hermes Franca,66.0,155.0,71.0,Orthodox,1974-08-26,http://ufcstats.com/fighter-details/e0ec3c3b6b611f7e,True,48.0
Glaico Franca Moreira,72.0,155.0,77.0,Orthodox,1991-02-28,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,True,31.0
Rich Franklin,73.0,185.0,76.0,Southpaw,1974-10-05,http://ufcstats.com/fighter-details/d897897060f10a3a,True,48.0
Zane Frazier,77.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/d3711d3784b76255,True,
Justin Frazier,72.0,265.0,75.0,Southpaw,1989-06-15,http://ufcstats.com/fighter-details/78863e4a28204a6b,True,33.0
Ian Freeman,71.0,225.0,,Orthodox,1966-11-10,http://ufcstats.com/fighter-details/b4bc2e3353a770b5,True,56.0
Willamy Freire,68.0,155.0,,,1987-07-28,http://ufcstats.com/fighter-details/f1f37d667bcd0d27,True,35.0
Matt Frevola,69.0,155.0,71.0,Orthodox,1990-06-11,http://ufcstats.com/fighter-details/dccb63727f2f5f74,True,32.0
Jinh Yu Frey,63.0,115.0,65.0,Southpaw,1985-05-20,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,True,37.0
Sarah Frota,66.0,125.0,69.0,Southpaw,1987-04-14,http://ufcstats.com/fighter-details/1641ef250e9de19b,True,35.0
Don Frye,73.0,219.0,,Orthodox,1965-11-23,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,True,57.0
Tony Fryklund,72.0,185.0,,Orthodox,1971-03-26,http://ufcstats.com/fighter-details/253de74457bd6374,True,51.0
Katsuhisa Fujii,72.0,205.0,,Orthodox,1972-08-15,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,True,50.0
Riki Fukuda,72.0,185.0,73.0,Southpaw,1981-01-06,http://ufcstats.com/fighter-details/7c35f869033901ae,True,42.0
Masio Fullen,70.0,145.0,70.0,Orthodox,1986-10-06,http://ufcstats.com/fighter-details/4638cc6479cc0afe,True,36.0
Travis Fulton,72.0,240.0,,Orthodox,1977-05-29,http://ufcstats.com/fighter-details/911fb265462f0d94,True,45.0
Sam Fulton,,,,,,http://ufcstats.com/fighter-details/1f5f75658551f2d3,True,
Ricardo Funch,70.0,170.0,74.0,Southpaw,1980-08-14,http://ufcstats.com/fighter-details/e9e1acc96536bb4f,True,42.0
Claudia Gadelha,64.0,115.0,63.0,Orthodox,1988-12-07,http://ufcstats.com/fighter-details/ec34349e7dffcde7,True,34.0
Justin Gaethje,71.0,155.0,70.0,Orthodox,1988-11-14,http://ufcstats.com/fighter-details/9e8f6c728eb01124,True,34.0
Sheila Gaff,65.0,135.0,,Orthodox,1989-12-29,http://ufcstats.com/fighter-details/837d30395faca41e,True,33.0
Mitch Gagnon,65.0,135.0,65.0,Southpaw,1984-10-10,http://ufcstats.com/fighter-details/b8592b4a383696cd,True,38.0
Dave Galera,71.0,135.0,,Orthodox,1978-01-12,http://ufcstats.com/fighter-details/0876d21328cf4a45,True,45.0
Mickey Gall,74.0,170.0,74.0,Switch,1992-01-22,http://ufcstats.com/fighter-details/9e50097a89442158,True,31.0
Tom Gallicchio,70.0,170.0,,Southpaw,1986-09-23,http://ufcstats.com/fighter-details/cc81c92fe2254935,True,36.0
Joey Gambino,67.0,145.0,,Orthodox,1988-10-26,http://ufcstats.com/fighter-details/10559c53de0b950e,True,34.0
Manvel Gamburyan,65.0,135.0,67.0,Orthodox,1981-05-08,http://ufcstats.com/fighter-details/cc6f9d1e89f3449a,True,41.0
Mateusz Gamrot,70.0,155.0,70.0,Southpaw,1990-12-11,http://ufcstats.com/fighter-details/72db2a14ffa73ece,True,32.0
Shamil Gamzatov,74.0,205.0,76.0,Orthodox,1990-08-09,http://ufcstats.com/fighter-details/0d980975001ae3d8,True,32.0
Ciryl Gane,76.0,245.0,81.0,Orthodox,1990-04-12,http://ufcstats.com/fighter-details/787bb1f087ccff8a,True,32.0
Sean Gannon,75.0,265.0,,Southpaw,,http://ufcstats.com/fighter-details/6d7886b094b471ac,True,
Eduardo Garagorri,69.0,145.0,70.0,Orthodox,1989-05-28,http://ufcstats.com/fighter-details/7bde387d50829adf,True,33.0
Cody Garbrandt,68.0,125.0,65.0,Orthodox,1991-07-07,http://ufcstats.com/fighter-details/d8c7c61b176e3994,True,31.0
Leonard Garcia,70.0,145.0,68.0,Orthodox,1979-07-14,http://ufcstats.com/fighter-details/917e53fa0adea0d3,True,43.0
Edgar Garcia,70.0,170.0,71.0,Orthodox,1984-02-22,http://ufcstats.com/fighter-details/8d49545dadf9b919,True,38.0
Alex Garcia,69.0,170.0,72.0,Orthodox,1987-07-14,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,True,35.0
Steve Garcia,72.0,155.0,75.0,Southpaw,1992-05-22,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,True,30.0
Elias Garcia,65.0,125.0,67.0,Southpaw,1992-09-13,http://ufcstats.com/fighter-details/ac5a7400da3a9a41,True,30.0
Rafa Garcia,67.0,155.0,70.0,Orthodox,1994-08-05,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,True,28.0
Fernie Garcia,67.0,135.0,67.0,Orthodox,1992-04-12,http://ufcstats.com/fighter-details/9e92e1ca498d7244,True,30.0
Ian Garry,75.0,170.0,74.0,Orthodox,1997-11-17,http://ufcstats.com/fighter-details/442c9011034ae1fd,True,25.0
Pablo Garza,73.0,145.0,73.0,Orthodox,1983-09-16,http://ufcstats.com/fighter-details/8e5bfd4e82352340,True,39.0
Azamat Gashimov,66.0,125.0,,Orthodox,1990-04-07,http://ufcstats.com/fighter-details/a1b0715c4fd2dbd3,True,32.0
Brian Gassaway,73.0,170.0,,Orthodox,1972-08-07,http://ufcstats.com/fighter-details/e4770d5ed44a3970,True,50.0
Kelvin Gastelum,69.0,185.0,71.0,Southpaw,1991-10-24,http://ufcstats.com/fighter-details/8c0580d4fff106c1,True,31.0
Willie Gates,68.0,125.0,72.0,Orthodox,1987-01-21,http://ufcstats.com/fighter-details/6ded9184b2284645,True,36.0
Melissa Gatto,65.0,125.0,69.0,Orthodox,1996-02-05,http://ufcstats.com/fighter-details/a4a80dd7336ffd59,True,26.0
Louis Gaudinot,63.0,125.0,63.0,Orthodox,1984-08-28,http://ufcstats.com/fighter-details/b72a60a0cadff408,True,38.0
Paul Georgieff,74.0,170.0,,Orthodox,1982-09-22,http://ufcstats.com/fighter-details/2f1700b3a4a09bc7,True,40.0
Brian Geraghty,67.0,155.0,,Orthodox,1980-11-04,http://ufcstats.com/fighter-details/15edcf67ccf5be84,True,42.0
Karine Gevorgyan,64.0,125.0,63.0,,1989-03-09,http://ufcstats.com/fighter-details/2db0c114414d4f06,True,33.0
Darrel Gholar,68.0,194.0,,Orthodox,,http://ufcstats.com/fighter-details/a24e080000fa7a35,True,
Tiki Ghosn,70.0,170.0,,Orthodox,1977-02-09,http://ufcstats.com/fighter-details/cb6783c39c01d896,True,45.0
Christos Giagos,70.0,155.0,71.0,Orthodox,1990-01-23,http://ufcstats.com/fighter-details/de45aaae23dfa392,True,33.0
Joe Giannetti,72.0,155.0,74.0,Southpaw,1995-07-05,http://ufcstats.com/fighter-details/946db8a378903cc3,True,27.0
James Giboo,71.0,170.0,,Orthodox,1978-01-06,http://ufcstats.com/fighter-details/f74e037b97917027,True,45.0
Lance Gibson,69.0,185.0,,Orthodox,1970-11-20,http://ufcstats.com/fighter-details/63eedfcc73071d41,True,52.0
Cody Gibson,70.0,135.0,71.0,Orthodox,1987-09-11,http://ufcstats.com/fighter-details/700a674c042b7a96,True,35.0
Thomas Gifford,73.0,155.0,75.0,Orthodox,1992-07-26,http://ufcstats.com/fighter-details/e7f51d9f9e9259e7,True,30.0
Joseph Gigliotti,71.0,185.0,,Orthodox,1993-08-13,http://ufcstats.com/fighter-details/83825fad27ab3581,True,29.0
Joey Gilbert,71.0,155.0,,Orthodox,1976-06-05,http://ufcstats.com/fighter-details/6bb1d2b714d4b3bc,True,46.0
Trevin Giles,72.0,185.0,74.0,Orthodox,1992-08-06,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,True,30.0
Gregor Gillespie,67.0,155.0,71.0,Orthodox,1986-11-13,http://ufcstats.com/fighter-details/84ff027394f7e470,True,36.0
Jason Gilliam,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/91720876db0ee468,True,
Micheal Gillmore,71.0,170.0,72.0,Orthodox,1987-03-28,http://ufcstats.com/fighter-details/ce175eaafe867d1f,True,35.0
Bob Gilstrap,75.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/c96518b7f6881004,True,
Ricky Glenn,72.0,155.0,70.0,Southpaw,1989-04-12,http://ufcstats.com/fighter-details/814ff3018127e8fc,True,33.0
Mark Godbeer,76.0,240.0,77.0,Orthodox,1983-11-22,http://ufcstats.com/fighter-details/ad56b3f00ca38dfd,True,39.0
Loopy Godinez,62.0,115.0,61.0,Orthodox,1993-09-06,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,True,29.0
Jason Godsey,74.0,230.0,,Orthodox,,http://ufcstats.com/fighter-details/5ca158b1cc9cb242,True,
Allan Goes,72.0,205.0,,Orthodox,1971-04-20,http://ufcstats.com/fighter-details/e62b36885ecdac27,True,51.0
Hannah Goldy,64.0,115.0,61.0,Orthodox,1992-05-18,http://ufcstats.com/fighter-details/26e3f3928b1891d9,True,30.0
Marcelo Golm,75.0,249.0,75.0,Orthodox,1992-09-15,http://ufcstats.com/fighter-details/ac29d508d78384c9,True,30.0
Ulysses Gomez,66.0,125.0,,Orthodox,1983-05-25,http://ufcstats.com/fighter-details/1e35aa8955794580,True,39.0
Joey Gomez,70.0,135.0,73.0,Orthodox,1986-07-21,http://ufcstats.com/fighter-details/0778f94eb5d588a5,True,36.0
Silvana Gomez Juarez,63.0,115.0,65.0,Orthodox,1984-12-06,http://ufcstats.com/fighter-details/b4880ef2f838d4e1,True,38.0
Takanori Gomi,67.0,155.0,70.0,Southpaw,1978-09-22,http://ufcstats.com/fighter-details/3be081c29bf734d9,True,44.0
Akihiro Gono,67.0,170.0,68.0,Switch,1974-10-07,http://ufcstats.com/fighter-details/b2acebbef8da14ea,True,48.0
Gabriel Gonzaga,74.0,242.0,76.0,Orthodox,1979-05-18,http://ufcstats.com/fighter-details/270b89c00ef0c55c,True,43.0
Lewis Gonzalez,70.0,170.0,,Orthodox,1987-09-19,http://ufcstats.com/fighter-details/2ff2e6e5abea3e53,True,35.0
Jason Gonzalez,74.0,155.0,74.0,Southpaw,1990-02-28,http://ufcstats.com/fighter-details/e45cfa47f504033a,True,32.0
Pearl Gonzalez,64.0,115.0,,Orthodox,1986-08-12,http://ufcstats.com/fighter-details/1ebdcb7488d0ebee,True,36.0
Erick Gonzalez,71.0,155.0,75.0,Orthodox,1992-01-20,http://ufcstats.com/fighter-details/a2ccf35a88346a91,True,31.0
Lyman Good,72.0,170.0,74.0,Orthodox,1985-05-26,http://ufcstats.com/fighter-details/4e0692ad070976e4,True,37.0
Jared Gooden,72.0,170.0,77.0,Orthodox,1993-12-05,http://ufcstats.com/fighter-details/c730a0be691dc081,True,29.0
Gary Goodridge,75.0,249.0,,Orthodox,1966-01-17,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5,True,57.0
Eddie Gordon,72.0,185.0,76.0,Orthodox,1983-07-22,http://ufcstats.com/fighter-details/8cad40a75e5c97f5,True,39.0
Jared Gordon,69.0,145.0,68.0,Orthodox,1988-09-06,http://ufcstats.com/fighter-details/7026eca45f65377b,True,34.0
Malcolm Gordon,67.0,125.0,71.0,Switch,1990-05-19,http://ufcstats.com/fighter-details/dee294e9717012c2,True,32.0
Tresean Gore,72.0,185.0,75.0,Switch,1994-06-21,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,True,28.0
Alex Gorgees,74.0,155.0,74.0,Switch,1995-08-11,http://ufcstats.com/fighter-details/803bebcfb6d6f506,True,27.0
Tim Gorman,65.0,135.0,,Southpaw,1983-04-29,http://ufcstats.com/fighter-details/c10eb2f12c489f6d,True,39.0
Chase Gormley,75.0,265.0,,Orthodox,,http://ufcstats.com/fighter-details/052ceb8976695342,True,
Jonathan Goulet,72.0,170.0,73.0,Orthodox,1979-07-13,http://ufcstats.com/fighter-details/fb1538b46877a695,True,43.0
Thibault Gouti,70.0,155.0,72.0,Orthodox,1987-02-27,http://ufcstats.com/fighter-details/51e86de150ee8be6,True,35.0
Wilson Gouveia,73.0,185.0,76.0,Orthodox,1978-10-03,http://ufcstats.com/fighter-details/af5b208e97f5d382,True,44.0
Damian Grabowski,73.0,241.0,75.0,Orthodox,1980-05-12,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9,True,42.0
Royce Gracie,73.0,175.0,,Southpaw,1966-12-12,http://ufcstats.com/fighter-details/429e7d3725852ce9,True,56.0
Renzo Gracie,70.0,185.0,,Orthodox,1967-03-11,http://ufcstats.com/fighter-details/aae0897825336b1a,True,55.0
Rolles Gracie,76.0,242.0,,Orthodox,1978-07-14,http://ufcstats.com/fighter-details/e4a9dbade7c7e1a7,True,44.0
Roger Gracie,76.0,185.0,79.0,Orthodox,1981-09-26,http://ufcstats.com/fighter-details/a6bbd3df469c6bea,True,41.0
Kron Gracie,69.0,145.0,70.0,Southpaw,1988-07-11,http://ufcstats.com/fighter-details/242d36d241b43c12,True,34.0
Steven Graham,73.0,290.0,,Orthodox,,http://ufcstats.com/fighter-details/3e514f437c51ce0a,True,
Miranda Granger,67.0,125.0,68.0,Orthodox,1992-04-13,http://ufcstats.com/fighter-details/7559395ad833c074,True,30.0
TJ Grant,70.0,155.0,72.0,Orthodox,1984-02-26,http://ufcstats.com/fighter-details/a26198ba5093147e,True,38.0
Davey Grant,68.0,135.0,69.0,Orthodox,1985-12-18,http://ufcstats.com/fighter-details/113df4fde64735c6,True,37.0
Dwight Grant,73.0,170.0,76.0,Switch,1984-09-14,http://ufcstats.com/fighter-details/8be158ca1e5ea6a0,True,38.0
Alexa Grasso,65.0,125.0,66.0,Orthodox,1993-08-09,http://ufcstats.com/fighter-details/e8b731feff72294b,True,29.0
Tony Gravely,65.0,135.0,69.0,Orthodox,1991-09-28,http://ufcstats.com/fighter-details/601964f9654f911a,True,31.0
Michael Graves,70.0,170.0,71.0,Orthodox,1991-01-08,http://ufcstats.com/fighter-details/3f1d23b01c552a13,True,32.0
Bobby Green,70.0,155.0,71.0,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/887961364be5ceb3,True,36.0
Desmond Green,70.0,155.0,73.0,Southpaw,1989-10-11,http://ufcstats.com/fighter-details/f046d724d2a84ac5,True,33.0
Gabe Green,70.0,170.0,73.0,Switch,1993-05-02,http://ufcstats.com/fighter-details/5eb50529a8418b77,True,29.0
Maurice Greene,79.0,258.0,80.0,Orthodox,1986-07-05,http://ufcstats.com/fighter-details/068f8a189a47fea6,True,36.0
Matt Grice,68.0,145.0,70.0,Orthodox,1981-07-29,http://ufcstats.com/fighter-details/bfc2fc38a0e20211,True,41.0
Forrest Griffin,75.0,205.0,77.0,Orthodox,1979-03-16,http://ufcstats.com/fighter-details/fcffee71cff5530e,True,43.0
Tyson Griffin,66.0,145.0,68.0,Orthodox,1984-04-20,http://ufcstats.com/fighter-details/20205040232ed0f3,True,38.0
Max Griffin,71.0,170.0,76.0,Orthodox,1985-11-29,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,True,37.0
Jordan Griffin,70.0,145.0,73.0,Southpaw,1990-02-28,http://ufcstats.com/fighter-details/ebef46976554f975,True,32.0
Chad Griggs,73.0,205.0,73.0,Orthodox,1978-05-15,http://ufcstats.com/fighter-details/fdf18227faa596dd,True,44.0
Maxim Grishin,75.0,205.0,78.0,Orthodox,1984-05-02,http://ufcstats.com/fighter-details/950d0ef5c17157c5,True,38.0
Josh Grispi,71.0,145.0,74.0,Orthodox,1988-10-14,http://ufcstats.com/fighter-details/60ba33c3f555a7a3,True,34.0
Kendall Grove,78.0,185.0,79.0,Orthodox,1982-11-12,http://ufcstats.com/fighter-details/234f3767ff0e5701,True,40.0
Neil Grove,78.0,265.0,,Orthodox,1971-01-18,http://ufcstats.com/fighter-details/36a432f22144843e,True,52.0
Chris Gruetzemacher,68.0,155.0,68.0,Orthodox,1986-06-16,http://ufcstats.com/fighter-details/feaf00f3373435d6,True,36.0
Vik Grujic,71.0,170.0,73.0,Orthodox,1977-02-06,http://ufcstats.com/fighter-details/1e7483dbff40b84b,True,45.0
Mike Grundy,67.0,145.0,72.0,Orthodox,1987-01-03,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b,True,36.0
Wang Guan,69.0,145.0,71.0,Orthodox,1986-03-14,http://ufcstats.com/fighter-details/dd12382f28296f7b,True,36.0
Nandor Guelmino,75.0,230.0,,,1975-12-20,http://ufcstats.com/fighter-details/1abfb658cd4f8533,True,47.0
Shannon Gugerty,70.0,155.0,71.0,Orthodox,1981-12-30,http://ufcstats.com/fighter-details/9f1641c08cf8fbe2,True,41.0
Clay Guida,67.0,155.0,70.0,Orthodox,1981-12-08,http://ufcstats.com/fighter-details/c47df9303d318c67,True,41.0
Melvin Guillard,69.0,155.0,71.0,Orthodox,1983-03-30,http://ufcstats.com/fighter-details/ccd1299e0345e0ce,True,39.0
Marcelo Guimaraes,72.0,185.0,73.0,Orthodox,1983-06-25,http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d,True,39.0
Leonardo Guimaraes,72.0,185.0,,Orthodox,1982-04-15,http://ufcstats.com/fighter-details/cc98d857b148e33a,True,40.0
Brad Gumm,71.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/4d74641fac830182,True,
John Gunderson,69.0,155.0,69.0,Orthodox,1979-01-05,http://ufcstats.com/fighter-details/a0c139b34f11421a,True,44.0
John Gunther,69.0,155.0,72.0,Orthodox,1985-11-24,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,True,37.0
Jorge Gurgel,67.0,155.0,69.0,Orthodox,1977-01-25,http://ufcstats.com/fighter-details/04d5718ed2661e8c,True,46.0
Fabio Gurgel,72.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/8377c5572cb356f3,True,
Andre Gusmao,72.0,205.0,,Orthodox,1977-05-19,http://ufcstats.com/fighter-details/cc300e9aa3063431,True,45.0
Alexander Gustafsson,77.0,205.0,79.0,Orthodox,1987-01-15,http://ufcstats.com/fighter-details/3c6976f8182d9527,True,36.0
Horacio Gutierrez,70.0,145.0,,,1990-09-15,http://ufcstats.com/fighter-details/cd85b48dc880fabd,True,32.0
Chris Gutierrez,69.0,145.0,67.0,Orthodox,1991-04-22,http://ufcstats.com/fighter-details/45f0cc9d18f35137,True,31.0
Mike Guymon,72.0,170.0,74.0,Orthodox,1974-09-17,http://ufcstats.com/fighter-details/eaea0fc7b76525a8,True,48.0
Keith Hackney,71.0,200.0,,Sideways,,http://ufcstats.com/fighter-details/bf12aca029bfcc47,True,
Jake Hadley,67.0,125.0,70.0,Southpaw,1996-08-03,http://ufcstats.com/fighter-details/60a42bf82447c919,True,26.0
Damir Hadzovic,69.0,155.0,70.0,Orthodox,1986-08-08,http://ufcstats.com/fighter-details/38c626ca912c7bac,True,36.0
Tim Hague,76.0,260.0,76.0,Orthodox,1983-05-09,http://ufcstats.com/fighter-details/219a254e15d60135,True,39.0
Mark Hall,72.0,190.0,,Orthodox,,http://ufcstats.com/fighter-details/18524b46c570730b,True,
Uriah Hall,72.0,185.0,79.0,Orthodox,1984-07-31,http://ufcstats.com/fighter-details/65578a75fa7900e3,True,38.0
Ryan Hall,70.0,145.0,70.0,Southpaw,1985-02-22,http://ufcstats.com/fighter-details/8866c6f509c19089,True,37.0
Dennis Hallman,69.0,155.0,72.0,Orthodox,1975-12-02,http://ufcstats.com/fighter-details/8a8a84b743ae7699,True,47.0
Piotr Hallmann,69.0,155.0,71.0,Orthodox,1987-08-25,http://ufcstats.com/fighter-details/a3be148af5c7b088,True,35.0
Tony Halme,75.0,300.0,,Orthodox,1963-01-06,http://ufcstats.com/fighter-details/bad28b7b34f334de,True,60.0
John Halverson,69.0,155.0,,Southpaw,1972-09-08,http://ufcstats.com/fighter-details/88c8f47241d90040,True,50.0
Seo Hee Ham,62.0,115.0,62.0,Southpaw,1987-03-08,http://ufcstats.com/fighter-details/165c244bcca3ed26,True,35.0
Frank Hamaker,,,,,,http://ufcstats.com/fighter-details/c3c23c99477c041b,True,
Matt Hamill,73.0,205.0,76.0,Orthodox,1976-10-05,http://ufcstats.com/fighter-details/98b80a717b9bda17,True,46.0
Anthony Hamilton,77.0,260.0,76.0,Orthodox,1980-04-14,http://ufcstats.com/fighter-details/c727c7d31c50c4cf,True,42.0
Jared Hamman,75.0,185.0,75.0,Orthodox,1982-03-07,http://ufcstats.com/fighter-details/23459ee7e373b98f,True,40.0
James Hammortree,75.0,185.0,,Orthodox,1983-11-29,http://ufcstats.com/fighter-details/1f77fce698e80488,True,39.0
Kay Hansen,62.0,115.0,63.0,Orthodox,1999-08-14,http://ufcstats.com/fighter-details/4100c7a09497ad41,True,23.0
Nasrat Haqparast,70.0,155.0,72.0,Southpaw,1995-08-22,http://ufcstats.com/fighter-details/b7b84ccd221be298,True,27.0
Antoni Hardonk,76.0,245.0,78.0,Orthodox,1976-02-05,http://ufcstats.com/fighter-details/69b69c0178c4004d,True,46.0
Dan Hardy,72.0,170.0,74.0,Orthodox,1982-05-17,http://ufcstats.com/fighter-details/473ce3aa581251a2,True,40.0
Greg Hardy,77.0,265.0,80.0,Orthodox,1988-07-28,http://ufcstats.com/fighter-details/85073dbd1be65ed9,True,34.0
Gerry Harris,80.0,270.0,,Orthodox,,http://ufcstats.com/fighter-details/30cd319d39ee689b,True,
Gerald Harris,71.0,185.0,77.0,Southpaw,1979-11-19,http://ufcstats.com/fighter-details/c4b81cdecd5d6abe,True,43.0
Phil Harris,64.0,125.0,65.0,Orthodox,1983-09-04,http://ufcstats.com/fighter-details/ba043b03eb799063,True,39.0
Walt Harris,77.0,250.0,77.0,Southpaw,1983-06-10,http://ufcstats.com/fighter-details/03f982ca3735070c,True,39.0
Carlston Harris,72.0,170.0,76.0,Orthodox,1987-07-09,http://ufcstats.com/fighter-details/a53d30163304aa6e,True,35.0
Collin Hart,73.0,185.0,,Orthodox,1989-10-12,http://ufcstats.com/fighter-details/16bf6a73bdd302cd,True,33.0
Dale Hartt,70.0,155.0,69.0,Orthodox,1979-04-04,http://ufcstats.com/fighter-details/058e4e08a1ad8aba,True,43.0
Clay Harvison,73.0,170.0,74.0,Orthodox,1980-09-25,http://ufcstats.com/fighter-details/83a477a7dba1ca58,True,42.0
Chris Haseman,71.0,205.0,,Orthodox,1969-06-02,http://ufcstats.com/fighter-details/5bd533d50c8e7b8a,True,53.0
Hayder Hassan,70.0,170.0,,,1982-10-20,http://ufcstats.com/fighter-details/cf615eb4b7862c76,True,40.0
John Hathaway,73.0,170.0,75.0,Orthodox,1987-07-23,http://ufcstats.com/fighter-details/28f3c2258a1d8874,True,35.0
Phil Hawes,72.0,185.0,77.0,Orthodox,1989-01-08,http://ufcstats.com/fighter-details/547afe1017e72dbe,True,34.0
Tommy Hayden,69.0,145.0,,Southpaw,1986-03-11,http://ufcstats.com/fighter-details/0871254cd790c250,True,36.0
Josh Haynes,69.0,170.0,,Orthodox,1977-07-30,http://ufcstats.com/fighter-details/6ef58dabef8beb15,True,45.0
Dustin Hazelett,73.0,170.0,76.0,Orthodox,1986-04-29,http://ufcstats.com/fighter-details/a149d6bc670cdb60,True,36.0
James Head,73.0,170.0,73.0,Orthodox,1984-02-09,http://ufcstats.com/fighter-details/19a8cce18a1cef9e,True,38.0
Pat Healy,72.0,155.0,72.0,Orthodox,1983-07-20,http://ufcstats.com/fighter-details/50d2f0018bcf9eef,True,39.0
David Heath,71.0,205.0,72.0,Orthodox,1976-02-10,http://ufcstats.com/fighter-details/4f95f74620a6b7a4,True,46.0
Chris Heatherly,69.0,155.0,,Orthodox,1987-11-24,http://ufcstats.com/fighter-details/bad8be5827ea1bf1,True,35.0
Jake Hecht,72.0,170.0,73.0,Orthodox,1984-02-09,http://ufcstats.com/fighter-details/e57fdbea1b828202,True,38.0
Nick Hein,66.0,155.0,66.0,Southpaw,1984-04-24,http://ufcstats.com/fighter-details/2816ced060a21be3,True,38.0
Ian Heinisch,71.0,185.0,72.0,Orthodox,1988-08-05,http://ufcstats.com/fighter-details/2e585c701f72fe55,True,34.0
Marcin Held,69.0,155.0,71.0,Orthodox,1992-01-18,http://ufcstats.com/fighter-details/bf43fed8f29e1671,True,31.0
Delson Heleno,71.0,185.0,,Orthodox,1977-11-16,http://ufcstats.com/fighter-details/970beed85bc46b63,True,45.0
Dan Henderson,71.0,185.0,74.0,Orthodox,1970-08-24,http://ufcstats.com/fighter-details/1ccf4e7caff270df,True,52.0
Benson Henderson,69.0,170.0,70.0,Southpaw,1983-11-16,http://ufcstats.com/fighter-details/2676b28836a5a836,True,39.0
Josh Hendricks,74.0,235.0,,Southpaw,1976-08-28,http://ufcstats.com/fighter-details/7649c4c95b824488,True,46.0
Johny Hendricks,69.0,185.0,69.0,Southpaw,1983-09-12,http://ufcstats.com/fighter-details/0941df56f6ac954b,True,39.0
Cory Hendricks,75.0,205.0,,,1988-05-10,http://ufcstats.com/fighter-details/9ab9912e0f8fa6d6,True,34.0
Luis Henrique,74.0,243.0,74.0,Orthodox,1993-08-21,http://ufcstats.com/fighter-details/e5bda12faabfc850,True,29.0
Danny Henry,72.0,145.0,73.0,Orthodox,1988-07-17,http://ufcstats.com/fighter-details/f7d73e452b064bf2,True,34.0
